Hyper-parameters,"Iterations, time (s)"
"(1, 5)","[(5, 0.07164233299954503), (0, 0.012269452000509773), (23, 0.28523579000011523), (27, 0.3357235359999322), (0, 0.012168716000815039)]"
"(1, 6)","[(30, 0.35762812300072255), (11, 0.14100757500000327), (31, 0.37967656000000716), (49, 0.5883466810000755), (6, 0.08232539199980238)]"
"(1, 7)","[(33, 0.39417133099959756), (12, 0.15092822299993713), (93, 1.108279663999383), (82, 0.9699797279999984), (99, 1.1771173469996938)]"
"(1, 8)","[(49, 0.5969108070003131), (27, 0.32722608800031594), (164, 1.9813726949996635), (124, 1.472002268000324), (82, 0.9838662519996433)]"
"(2, 5)","[(5, 0.07037048500023957), (40, 0.4775251159999243), (13, 0.16130446399984066), (0, 0.011937709000449104), (13, 0.1656597539995346)]"
"(2, 6)","[(13, 0.17882389800070086), (29, 0.34894606699981523), (44, 0.5459546450001653), (26, 0.3139091560005909), (105, 1.2336843940001927)]"
"(2, 7)","[(102, 1.20734406199972), (94, 1.1334934739998062), (59, 0.7045472540003175), (112, 1.349732665999909), (6, 0.08725668599981873)]"
"(2, 8)","[(242, 2.932644120999612), (55, 0.6676744160004091), (62, 0.7585860250001133), (189, 2.253342882000652), (143, 1.7292727059993922)]"
"(3, 5)","[(11, 0.13854478800021752), (59, 0.6960521000000881), (6, 0.08470273499915493), (1, 0.023844522000217694), (3, 0.04714947399952507)]"
"(3, 6)","[(6, 0.08259854300013103), (14, 0.1732845329997872), (39, 0.4721593589993063), (35, 0.4179156090003744), (57, 0.6736139120002917)]"
"(3, 7)","[(63, 0.7555979460003073), (67, 0.8122815420001643), (159, 1.8732381790005093), (127, 1.5123174919999656), (177, 2.0955965120001565)]"
"(3, 8)","[(91, 1.0873977210003432), (156, 1.842041486999733), (91, 1.0960633620006774), (376, 4.489579226999922), (91, 1.0969508409998525)]"
